,Nombre,Precio,Cantidad,Unidades,,,,,,
172,SALSA ROSADA ZEV 200 G,1450,200,g,,,,,,
173,SALSA PESTO VERDE DELIZIARE X 190 G,6990,190,g,,,,,,
174,MERMELADA DE MORA ZEV 200 G,2150,200,g,,,,,,
175,SYRUP QUICKSY 355 ML,5990,355,mL,,,,,,
176,CREMA DE ALMENDRAS SIN AZUCAR NATRI 160G,12990,160,g,,,,,,
177,SALSA TERIYAKI ZEV 190 GR,2190,190,g,,,,,,
178,VINAGRE DE SIDRA DE MANZANA NATRI 250ML,3990,250,mL,,,,,,
179,VINAGRE BLANCO ZEV 1000 ML,2850,1000,mL,,,,,,
180,SALSA DE QUESO CRACHOS 200 G,3990,200,g,,,,,,
181,GUACAMOLE CRACHOS 200 G,3290,200,g,,,,,,
182,VINAGRE BLANCO ZEV 500 ML,1850,500,mL,,,,,,
183,SALSA PARA CARNES ZEV 195 G,1890,195,g,,,,,,
184,SALSA DE SOYA ZEV 190 G,1450,190,g,,,,,,
185,SALSA NEGRA ZEV 190 G,1790,190,g,,,,,,
186,SALSA DE TOMATE ZEV 500 G,3190,500,g,,,,,,
187,SALSA NAPOLITANA DELIZIARE 400 G,5990,400,g,,,,,,
188,SALSA BOLOÑESA DELIZIARE 400 G,7490,400,g,,,,,,
189,MERMELADA SIN AZUCAR NATRI 220GR,5790,220,g,,,,,,
190,MERMELADA SURTIDA TRADICIÓN 1915 300GR,5590,300,g,,,,,,
191,PASTELITOS RECREO MIX BIMBO 5 UND 149 G,3550,149,g,,,,,,
192,ACHIRAS DEL HUILA 120 G,5190,120,g,,,,,,
193,ROSCON RESOBADO BOCADILLO JOSMAR 150 G,3990,150,g,,,,,,
194,GANSITO RAMO 6 UNIDADES 222 G,8490,222,g,,,,,,
195,PINGÜINOS MARINELA 4 UND - 160 G,5550,160,g,,,,,,
196,PAN DE YUCA HORNEADITOS 10 UND 90 G,3990,90,g,,,,,,
197,WAFFLE SABOR NATURAL BACKEREI 216 G,5990,216,g,,,,,,
198,LENGUAS DULCES HORNEADITOS 100 G,2190,100,g,,,,,,
199,PALITROQUES HORNEADITOS 100 G,2350,100,g,,,,,,
200,TOSTADA MANTEQUILLA HORNEADITOS 100 G,2390,100,g,,,,,,
201,PAN INTEGRAL MIEL Y PASAS HORNEADITOS 340 G,3190,340,g,,,,,,
202,GALLETA CUCA HORNEADITOS 12 UND - 340 G,3450,340,g,,,,,,
203,MINI BROWNIES HORNEADITOS 15 UND - 350 G,7990,350,g,,,,,,
204,COCADAS TRADICIÓN 1915 150 GRS,4550,150,g,,,,,,
205,QUESUDITOS HORNEADITOS 250 G,4950,250,g,,,,,,
206,BRAZO DE REINA HORNEADITOS 85 G,1550,85,g,,,,,,
207,CHOCO TAJADA HORNEADITOS 70 G,1650,70,g,,,,,,
208,PAN ÁRABE BACKEREI 5 UND 300 G,3750,300,g,,,,,,
